toss_win,5_total_runs,10_total_runs,15_total_runs,20_total_runs,20_player_dismissed,inn1_avg,roll_win
0,47.0,77.0,124.0,185.0,4.0,163.28571428571428,1.0
1,48.0,88.0,131.0,185.0,4.0,166.85714285714286,1.0
0,61.0,128.0,196.0,263.0,5.0,170.57534246575344,0.0
0,36.0,76.0,103.0,171.0,4.0,175.66666666666666,1.0
1,54.0,81.0,112.0,159.0,6.0,161.62337662337663,1.0
1,37.0,62.0,96.0,159.0,6.0,166.85714285714286,2.0
1,33.0,72.0,111.0,149.0,6.0,161.62337662337663,1.0
1,19.0,64.0,92.0,144.0,9.0,159.87234042553192,1.0
1,38.0,97.0,143.0,194.0,7.0,167.87671232876713,1.0
0,49.0,103.0,151.0,200.0,3.0,166.85714285714286,1.0
0,24.0,68.0,101.0,164.0,5.0,146.33333333333334,0.0
0,49.0,75.0,116.0,171.0,6.0,159.87234042553192,1.0
1,28.0,59.0,102.0,174.0,3.0,167.87671232876713,1.0
1,26.0,55.0,102.0,164.0,3.0,147.64705882352942,2.0
1,32.0,60.0,89.0,129.0,4.0,156.58928571428572,2.0
1,29.0,50.0,83.0,136.0,7.0,146.33333333333334,0.0
1,32.0,69.0,116.0,186.0,4.0,166.85714285714286,2.0
1,23.0,75.0,119.0,187.0,3.0,147.64705882352942,1.0
1,28.0,71.0,102.0,132.0,6.0,161.62337662337663,0.0
1,23.0,43.0,70.0,80.0,10.0,156.58928571428572,1.0
0,26.0,52.0,111.0,174.0,5.0,170.57534246575344,1.0
1,21.0,47.0,82.0,139.0,5.0,167.87671232876713,1.0
1,50.0,92.0,125.0,178.0,4.0,159.87234042553192,1.0
1,32.0,62.0,98.0,161.0,6.0,170.57534246575344,0.0
1,41.0,55.0,101.0,154.0,4.0,159.87234042553192,1.0
1,38.0,69.0,106.0,170.0,6.0,167.87671232876713,1.0
0,44.0,91.0,136.0,223.0,3.0,156.58928571428572,2.0
0,28.0,74.0,107.0,145.0,6.0,163.28571428571428,1.0
1,44.0,66.0,96.0,152.0,6.0,147.64705882352942,0.0
0,32.0,74.0,99.0,183.0,4.0,164.4179104477612,1.0
1,29.0,58.0,88.0,112.0,8.0,147.64705882352942,0.0
0,29.0,56.0,98.0,150.0,7.0,163.28571428571428,0.0
0,16.0,54.0,84.0,115.0,9.0,149.0,1.0
